Namespace(agent='ER', scenario='class', stream_split='exp', data='har', encoder='CNN', head='Linear', criterion='CE', ncm_classifier=False, norm='LN', input_norm='IN', runs=1, epochs=50, batch_size=32, lr=0.001, lradj='step15', early_stop=True, patience=20, weight_decay=0, dropout=0, feature_dim=128, n_layers=4, tune=False, debug=True, seed=1234, device='cpu', verbose=True, exp_start_time=None, fix_order=False, cf_matrix=True, tsne=False, tsne_g=True, er_mode='task', mem_budget=0.05, buffer_tracker=False, der_plus=False, er_sub_type='part', teacher_eval=False, lambda_kd_lwf=1, lambda_kd_fmap=0.01, fmap_kd_metric='dtw', lambda_protoAug=100, adaptive_weight=False, lambda_impt=10000, ewc_mode='separate', aser_k=3, aser_type='asvm', aser_n_smp_cls=4, mc_retrieve=False, beta_lr=0.0001, lambda_beta=1, epochs_g=500, lr_g=0.001, recon_wt=0.1, mnemonics_epochs=1, mnemonics_lr=1e-05, start_noise=True, save_mode=0, n_samples_to_plot=5, augment_batch=False, visual_syn_feat=True, iterations_per_layer=100, inversion_lr=0.01, inchannel_scale=10, xchannel_scale=1, feat_scale=1, k_freq=-1, regularize_freq_on_feat=False, exp_path='./result/exp/debug\\CNN_har\\ER_LN_Oct-06-15-09-23')

 ######## exp tasks, Run 0, cls_order :[2, 1, 5, 0, 4, 3] ########
Create exp stream : 3 tasks,  classes order [2, 1, 5, 0, 4, 3] 
Input shape (L, D): (128, 9)
Training set size: 5952; Val set size: 664; Test set size: 2947
buffer has 366 slots
ER mode: task, NCM classifier: False

--> Task 0: 2 classes in total
Epoch 1/50: Accuracy = 95.75358851674642, Loss = 0.11961332708597183
Epoch 2/50: Accuracy = 100.0, Loss = 0.0003242317761760205
Epoch 3/50: Accuracy = 99.82057416267942, Loss = 0.008811778388917446
Epoch 4/50: Accuracy = 99.28229665071771, Loss = 0.023285148665308952
Epoch 5/50: Accuracy = 100.0, Loss = 0.00013541721273213625
Epoch 6/50: Accuracy = 100.0, Loss = 4.1841478378046304e-05
Epoch 7/50: Accuracy = 100.0, Loss = 9.337351002614014e-06
Epoch 8/50: Accuracy = 100.0, Loss = 6.323580237221904e-06
Epoch 9/50: Accuracy = 100.0, Loss = 4.712020199804101e-06
Epoch 10/50: Accuracy = 100.0, Loss = 4.367634574009571e-06
Epoch 11/50: Accuracy = 100.0, Loss = 3.5081993701169267e-06
Epoch 12/50: Accuracy = 100.0, Loss = 3.1263800792658003e-06
Epoch 13/50: Accuracy = 100.0, Loss = 2.807277951433207e-06
Epoch 14/50: Accuracy = 100.0, Loss = 2.6097502541233553e-06
Epoch 15/50: Accuracy = 100.0, Loss = 2.332643134650425e-06
Epoch 16/50: Accuracy = 100.0, Loss = 2.209516196671757e-06
